beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,volatility,dV_dK,dV_dF,dV_dalpha,dV_dbeta,dV_drho,dV_dvolvol
0.7125087822042406,0.3472120806574821,0.7945355774834753,0.0395048487186431,0.2235444032121449,0.0665539299882948,0.0760769925126805,0.1337332906003403,0.53284615,1.5190539,-3.981958,2.325451,-1.3599257,0.058285892,0.10102013
0.3352097380906343,-0.665831832587719,0.7897954288870097,0.0192187016690149,0.2440790382213891,0.022914402950555,0.0233460212856136,0.0186609123156357,3.1295645,-64.87089,-41.860035,15.245001,-16.657307,0.90626097,-0.3716029
0.8505795731581748,-0.6971337586641312,0.792396028060466,0.0128749882150441,0.2134582954924553,0.0237623989209532,0.0518320922274142,0.7799050444144325,0.29415548,2.1096826,-5.7670116,0.8681222,-0.63366675,0.38015538,0.11671112
0.5010272241570055,-0.7411497130990029,0.622067613620311,0.0399344696197658,0.3881167632993311,0.0570116492733359,0.0517997863190248,-0.0958695960280306,1.5783279,-11.324289,-2.7726924,3.8452587,-4.8604393,0.31088585,-0.19497967
0.8568198857828975,0.2790290683507919,0.459952391218394,0.0465314426971599,0.3007013115566224,0.0324737167544662,0.0304319712937145,-0.0649373038321425,0.5039534,0.6755892,-2.9016972,1.7110746,-1.7737862,0.00096303225,0.039493274
0.6079005353711545,0.5130927711725235,0.5214164421893657,0.0392292889161035,0.0559350265655666,0.0386636380851268,0.0497895021783188,0.2529045881910771,0.234891,2.660135,-5.3879237,3.45931,-0.60179996,0.04222846,0.09851609
0.6083306407742202,-0.7324008688330651,0.167078220192343,0.0311847755359485,0.3567132685799152,0.0477857862412929,0.0408865871792659,-0.1559261688718625,1.2040771,-7.123623,-3.6584704,3.33599,-3.8140695,0.031075418,-0.101189554
0.4040466818027198,0.253543709218502,0.5453616990707815,0.0259386938018724,0.1396782483905554,0.0478507613018155,0.0332810309017077,-0.3630994358591248,0.9778712,-7.8709245,-7.3231006,7.356507,-3.3148499,-0.076123476,0.07682957
0.8030992382392287,-0.1310341864824294,0.36202870067209,0.0345563385868445,0.0556034587323665,0.0144576604478061,0.0726281668525189,1.6141284108809055,0.23550098,1.052456,-6.578617,1.7055933,-0.315537,0.09349573,0.40093994
0.4347835971973836,-0.501439991593361,0.1214688189327716,0.0133228069823235,0.0560933470726013,0.0496985370479524,0.0096907251048833,-1.6348062436861153,0.5233835,-14.979291,-2.3844626,8.316213,-1.7263135,-0.07290782,0.47437474
