beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness
0.7125087822042406,0.3472120806574821,0.7945355774834753,0.03950484871864319,0.22354440321214497,0.06655392998829485,0.07607699251268059,0.13373329060034037
0.33520973809063437,-0.665831832587719,0.7897954288870097,0.01921870166901499,0.2440790382213891,0.022914402950555086,0.023346021285613652,0.018660912315635755
0.8505795731581748,-0.6971337586641312,0.792396028060466,0.012874988215044143,0.21345829549245537,0.023762398920953276,0.05183209222741425,0.7799050444144325
0.5010272241570055,-0.7411497130990029,0.622067613620311,0.03993446961976588,0.3881167632993311,0.05701164927333594,0.051799786319024856,-0.09586959602803065
0.8568198857828975,0.2790290683507919,0.45995239121839404,0.04653144269715995,0.3007013115566224,0.032473716754466295,0.03043197129371459,-0.06493730383214259
0.6079005353711545,0.5130927711725235,0.5214164421893657,0.03922928891610354,0.05593502656556666,0.03866363808512688,0.0497895021783188,0.25290458819107714
0.6083306407742202,-0.7324008688330651,0.167078220192343,0.03118477553594858,0.3567132685799152,0.04778578624129296,0.04088658717926592,-0.15592616887186259
0.40404668180271985,0.253543709218502,0.5453616990707815,0.025938693801872435,0.1396782483905554,0.047850761301815516,0.03328103090170771,-0.36309943585912485
0.8030992382392287,-0.13103418648242948,0.36202870067209003,0.03455633858684451,0.055603458732366565,0.01445766044780612,0.07262816685251892,1.6141284108809055
0.43478359719738363,-0.501439991593361,0.12146881893277169,0.013322806982323528,0.05609334707260132,0.04969853704795242,0.009690725104883315,-1.6348062436861153
0.47195801991969344,0.3243497982621193,0.44673935007303955,0.04582315557636321,0.05052130497060717,0.06315856808796526,0.060779428868930736,-0.038397127195235116
0.34499754916876557,-0.7254023343324661,0.5203838960267604,0.029924445627257233,0.1315646891947836,0.06410442735999823,0.08398222093004734,0.2700916897262462
0.2702545803412795,-0.7180913373827935,0.44147955337539324,0.03361759455874563,0.16026378283277154,0.06553043948486448,0.07214418180752546,0.09615188209017567
0.7195303202420473,-0.6926629856228829,0.24948228634893896,0.03351103177759797,0.08699747868813576,0.06746054239571095,0.0432980272360146,-0.4434357962564308
0.5074138266779482,-0.4393484264612198,0.3473629628308118,0.014205891569145025,0.20106715741567316,0.04844922974705697,0.05009306878151453,0.03336621052869486
0.662196383178234,0.37762814611196527,0.18986288420856,0.014155789832584562,0.329601938277483,0.01279125165194273,0.0631908560404554,1.5973981352159148
0.29219903858378526,-0.3560820460319519,0.404484713356942,0.01633938235230744,0.18128250925801698,0.0403053274191916,0.0596783324284479,0.3924853593821658
0.8888756934925913,-0.27347458004951475,0.47892180355265745,0.006632485990412534,0.21530325235798958,0.021876838505268097,0.023269164443069142,0.061700594957669656
0.5724232689663769,-0.01309550553560257,0.3035777275450528,0.01655354777351022,0.10214472599327565,0.053011159729212526,0.09508994846139104,0.5843208172371858
0.4643100970052183,-0.001179656386375405,0.2658175618387759,0.036903862021863465,0.29072976969182496,0.04863073941320181,0.07533271751832217,0.43765870685743186
0.9866549767367542,0.000612910091877028,0.5649792547337711,0.029947127266786996,0.16872175866737965,0.05485552085563541,0.022822701330296697,-0.8769471223706041
0.6024787354841828,0.06826111674308777,0.5983728631399572,0.028470614999532705,0.22608558782376353,0.03195179134607315,0.03557083466830188,0.10729780477660118
0.7690942174382508,-0.022577910125255563,0.19050090704113248,0.034827647130005066,0.10539075843989851,0.029554848223924637,0.035223984100976845,0.17547941819843654
0.3455221037566662,0.23171316981315604,0.2139810976572335,0.017945783021859826,0.39349072817713027,0.036652741171419624,0.023372698230668905,-0.4499196198423509
0.8439618883281946,0.21647345572710042,0.7000854382291437,0.022481638984754686,0.22886386513710022,0.06533347202464938,0.06560135891649718,0.004091917539572148
0.5246296561509372,0.2865445762872696,0.6741192367859185,0.014860441889613867,0.25832506362348795,0.03012646395713091,0.032947761050147795,0.0895193220027732
0.5793016452901065,-0.486610795557499,0.5654889564029872,0.01613518393598497,0.06279627671465278,0.04607038024812937,0.060345618659630416,0.26991811344443123
0.6614699081890285,0.7496918380260469,0.6421752421185375,0.0210063461586833,0.22181538548320534,0.06763667607679963,0.06896870699005969,0.019502498402812683
0.4613064391165972,-0.02394128739833834,0.5479749162681401,0.0246711587253958,0.27383192135021095,0.01745094608515501,0.015406969719454652,-0.12457387787119883
0.38188887864351273,0.11508715450763707,0.3710638316348195,0.027417609286494556,0.31922504589892925,0.048851409833878284,0.04442682037907009,-0.09493988888319436
0.46792477935552595,-0.692140905559063,0.5564961888827384,0.012068647872656584,0.21449506548233332,0.06994982391595841,0.06417857246815141,-0.08610879101735702
0.6119413637928665,0.6083508342504502,0.19085329575464133,0.009219302702695132,0.1941602463833988,0.038505345173180106,0.038166599381841276,-0.008836295920533541
0.5009588121436537,0.46823754012584695,0.2714762999676168,0.026153634800575677,0.2001478699967265,0.026334233637899163,0.03245021998979143,0.2088374704780728
0.8673771352507174,-0.16493181735277174,0.19705449156463148,0.026691681025549772,0.38289777161553507,0.045504989922046664,0.023060635873116554,-0.6796948993762336
0.8490772462822497,0.09811876863241198,0.3394746136851609,0.017582895564846695,0.21720628766342998,0.039291837923228747,0.00609479851089418,-1.8635811065845151
0.26466745337471365,0.7087929874658585,0.6711175598204137,0.037334410171024505,0.36814215113408866,0.030741132721304895,0.032585299662314354,0.05825967018903141
0.3114661671221256,-0.7187142759561539,0.2595337416045368,0.031404881505295634,0.16872286531142894,0.03476641347631812,0.040028293227872665,0.140934744018558
0.8430821241438389,-0.07655922174453733,0.7881618957966566,0.01953090539202094,0.31570441969670354,0.056972656827420004,0.09862200174480677,0.5487229301870081
0.48307312577962874,-0.15731801390647893,0.28905690694227815,0.04925320222508162,0.16099408022128048,0.05660201186314226,0.05910647700490459,0.04329598253606965
0.9265351815521717,0.6684275299310685,0.5931298952549696,0.009035049318335951,0.2750131590757519,0.04096551947295666,0.08838139852508903,0.7689307991663994
0.9701124851964414,0.11271663904190066,0.3231530449353159,0.032776560345664625,0.3904521580785513,0.06093175139278174,0.09307503722142428,0.42365161147688196
0.33376986045390367,0.08039838820695877,0.4230307846330107,0.01665543496143073,0.3250868947710842,0.03407133912667632,0.026202905280515554,-0.26258624286811827
0.33518114406615496,0.20144989937543878,0.1880439668893814,0.03368200923316181,0.11607845253311098,0.04618039121851326,0.08903219386935235,0.6564427577021404
0.9269156557507813,0.32094177454710016,0.7548475361429156,0.008275665738619865,0.07781347557902336,0.012041136585175992,0.011740824254982006,-0.02525681513931598
0.6253876903653145,0.44026789665222177,0.4505300710909069,0.044999269228428604,0.09865317307412624,0.04787110356613994,0.04740147011515825,-0.009858813228426128
0.510004328135401,0.6156877040863038,0.25665072230622177,0.0346339685888961,0.06468579694628716,0.02216179180890322,0.023650631919193827,0.06502011779586607
0.6374705092608929,-0.2217225879430771,0.5597064586356283,0.03529362009372562,0.24890205571427942,0.05831421535462142,0.061132651743120464,0.047200227091927394
0.8423869254626334,0.6356500446796418,0.1061092090792954,0.023672323408536616,0.19031210602261128,0.05886493712663651,0.0532411472403013,-0.10041407667520687
0.2950123115442693,0.2934707760810853,0.7766124284826219,0.03769044261425734,0.15023250565864146,0.04259719701483846,0.011966429455205797,-1.269683269391912
0.5740636045672,-0.37457145750522614,0.517600132431835,0.035495252390392126,0.11259401147253813,0.06015404757112265,0.04376535921823233,-0.3180661124081783
0.3153395554423332,0.6936083376407625,0.5375218043103814,0.032184676108881836,0.3969779708888382,0.06592326106503606,0.0920965170301497,0.33434577086634937
0.692601053789258,0.62128514200449,0.602434431295842,0.043670417428947984,0.07004627380520106,0.0683295855484903,0.09799219680484385,0.3605450077256366
0.9063316727988422,0.447042815387249,0.23940419210121036,0.019259687834419312,0.3519597339909524,0.010477655436843633,0.044348493786528706,1.4428338102006812
0.6458597183041275,-0.03465957343578341,0.13364371648058296,0.016080239093862476,0.294513539550826,0.018924894705414773,0.017455388664914136,-0.08082982853551506
0.6284009106084705,0.48567893803119655,0.7501091203652323,0.018101810514926913,0.3775099034421146,0.020641315076500178,0.022728786900231262,0.09633761292443217
0.5824605530872942,-0.11688451617956164,0.3970757063478232,0.04201437016017735,0.1435781076550484,0.06038944851607085,0.06889434848735011,0.13175975356079594
0.9431886784173548,-0.7169648632407188,0.6047086529433727,0.019140429026447237,0.3533575522247702,0.018685576785355807,0.02085574847662072,0.10987768519871903
0.6007391581498087,0.11875815093517306,0.7775404846295715,0.046795359617099165,0.3037507316563279,0.03988675652071834,0.04168101698713057,0.04400144500533333
0.8921096335537732,0.25796409845352164,0.2894959972240031,0.023260155683383348,0.05969221447594464,0.04193012241274119,0.0073866361752152445,-1.7363320353348637
0.8596947506442666,0.5421855166554452,0.3751629604957998,0.027549105421639984,0.07345535387285054,0.010863839220255614,0.010725091757434212,-0.012853751143893019
