beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,SABR_volatility
-0.8898216790102974,0.6462230048333103,0.2151542083903526,0.49171454403215487,-0.9976354412730719,-0.73628015879447,-0.5533926920166319,0.9612813751550048,1.0,0.0,0.6589983237498707
0.3767804023180159,-0.9526687810035102,-0.49094625124966207,-0.5467361913538213,-0.9966314022863285,0.7174532102412945,0.0018288508162040973,-0.3936546945548841,1.0,0.0,0.1920501665770578
0.5600264788835125,0.13077629620953118,0.5401805981371819,0.5042494519008662,-0.9882818732847173,0.3319947691361447,-0.10330419530407053,-0.09913224522779668,1.0,0.0,0.6033967298835012
-0.05029317383614673,-0.4679554177915103,-0.7538389317083976,-0.46547010480305984,-0.9965903068395678,-0.37175930127607626,-0.40776446854793447,0.3946433785540301,1.0,0.0,0.24631042270037107
-0.32509537712394154,0.3186283254047929,-0.24534237638970402,-0.13901950362187132,-0.9971325208357316,-0.2245825761410971,-0.16311989310058372,0.7890224073504037,1.0,0.0,0.4032115772941755
0.8145337147257194,-0.027879880783807036,0.45489907201726343,0.8346027745070068,-0.9792175383374586,0.19678225293174068,-0.3923531690123032,-0.7295625828681169,1.0,0.0,0.6507500458023189
0.24872756830985465,0.8341189351035386,-0.5140902606063869,-0.8727003318494676,-0.9984649811058409,0.8167646644834354,0.3320139459824052,0.163087378683966,1.0,0.0,0.08925237673111468
-0.734637694152541,-0.5125760471728227,0.7857882804722398,0.16184765230482911,-0.9972530554914298,-0.8548810522288063,-0.7266983394539402,0.6006312141231955,1.0,0.0,0.49829909102136033
-0.5016536803369984,0.06585869738445196,-0.6526557764241829,0.9607967360441831,-0.9964789806244598,0.5777519985122801,0.2268857381148499,0.2767994962792684,1.0,0.0,0.8026961282540543
0.01491954844853094,-0.27504828822536226,0.928498221759642,-0.015145220795005798,-0.9931827092832093,-0.593832009934932,-0.7022147051379403,-0.2438418735107665,1.0,0.0,0.39404886655523874
0.9257326868491096,0.5813034091501029,-0.10287277544832829,0.03565547917126399,-0.9750455428942417,-0.48172483790398446,-0.6978399619470749,-0.5567720534177161,1.0,0.0,0.3807370758983314
-0.43461581841333374,-0.7597598334023499,0.31609321585344086,-0.9965728262727221,-0.9996558825961338,0.4397016994338827,0.4372453239604446,0.8633262465856407,1.0,0.0,0.03533369125310703
-0.1898669467397096,0.8912777379462222,0.6828957849480091,-0.6705810847480135,-0.99841612714028,0.08657255090365545,-0.03392736185208367,0.4876980600146401,1.0,0.0,0.19271561536724877
0.6997528454992574,-0.6976180704141408,-0.8923972945397047,0.36554997192765204,-0.9827520246402093,-0.1171198112435361,-0.33988327945923413,0.03517855168077563,1.0,0.0,0.5628568259571307
0.3595410084704591,0.3757853698201697,0.07634787536076404,-0.34162723826629326,-0.9857628689288276,-0.9948264293579971,-0.9986497274897744,-0.9080061262315324,1.0,0.0,0.23480858050561457
-0.8738335536026303,-0.2129198475592917,-0.34847903463711605,0.6304119971479434,-0.998344310743225,0.9589686479427963,0.7555093757213693,0.681787213851695,1.0,0.0,0.6772242271084511
-0.7579324487082931,0.44323901199732946,0.9974413916349802,-0.8088942658154215,-0.9995519271714247,-0.2514827075632149,-0.4451087832476167,-0.03106635396942084,1.0,0.0,0.10011251913302531
0.25682396305429034,-0.15535541800740194,-0.7106729904196021,0.2235131221693154,-0.9931017558560523,0.2959120045095971,0.09967227045814542,0.43459412160661226,1.0,0.0,0.5372066678675499
0.6819933328543666,0.9586093333467438,0.25795391677091706,-0.2022742793394785,-0.9928500110727356,0.6600644566999243,0.4842336642141474,0.6328220683327654,1.0,0.0,0.4251959357674336
-0.17650211065305532,-0.6399315344779075,-0.034051690660094724,0.7733665364125124,-0.990828481298037,-0.6375499116473636,-0.8445068348319318,-0.9991143103053161,1.0,0.0,0.6298452802123023
-0.4490764382921333,0.5216714565354122,-0.9631108285710426,0.56750778207065,-0.9942990883559013,-0.7719037468651224,-0.816834221971077,-0.3125918642100388,1.0,0.0,0.6088791220755685
0.9426348433771388,-0.8251302756902101,0.7352366272987303,-0.40422216011659506,-0.9922867610974239,0.8058946767542614,0.3534136777454482,0.21581787101574312,1.0,0.0,0.2611830443332604
0.11873047023544325,0.006348851154104761,-0.2962602624714439,0.42790489373920493,-0.9931330748592709,0.1762006715446418,0.1859276110339554,0.8144604877584954,1.0,0.0,0.6571918688513336
-0.6166955216930721,-0.3405407772898607,0.00551227114437669,-0.6084133380035508,-0.9990506116372347,-0.15154959168465365,-0.5422234403496231,-0.6321714393524744,1.0,0.0,0.1669510010284363
-0.63143237866085,0.7686223033035205,-0.43482099472952607,-0.2782723156723139,-0.9987743417070355,0.43676540688276466,-0.2995381285918892,-0.8095172232085006,1.0,0.0,0.27105114401866987
0.13331473349103917,-0.5720899169232788,0.14822508852842997,0.691626301217318,-0.9885905985949333,-0.3910541950131772,-0.3189407683327874,0.7389688613581762,1.0,0.0,0.7555954767783862
0.8016572083215054,0.2532537999891184,-0.8206459813852711,-0.7343613940442212,-0.990208275397936,-0.5284923928118682,-0.48412274334034533,0.5464916466873297,1.0,0.0,0.15810966786667038
-0.3068475347966104,-0.08751579731090141,0.5964279248423678,0.3037881629961483,-0.9968636727241639,0.5492366921408691,0.12299264564850176,0.10383580620563698,1.0,0.0,0.5351141059012118
-0.06768360043969812,0.18845117883937487,0.4006662572892039,0.09942411168222853,-0.996673053004777,0.9151963609899343,0.07724540409668745,-0.469254027128304,1.0,0.0,0.4227710952403398
0.5739988286867903,-0.400635594912789,-0.1726148072470064,-0.9348146016001221,-0.9929019506228691,-0.8824873460240003,-0.6920890961124703,0.9171444760459043,1.0,0.0,0.07675646377299182
0.49133391399164905,0.7037758406865158,0.8586379347020423,0.8974535200421734,-0.9845861331904,-0.01045202391130906,-0.16360113179064872,0.33989157026425343,1.0,0.0,0.8242025624236787
-0.9941209304796498,-0.8852268517404454,-0.5682009902473417,-0.07635597041220366,-0.9990715559369151,0.03687334949485699,-0.30800927645617115,-0.16843739513537587,1.0,0.0,0.3747778414427492
-0.951407750572166,0.17240124722305744,-0.06724542250287757,-0.5728164439539086,-0.9993098937249417,-0.8180132876812267,-0.790682293628665,0.051499182694377865,1.0,0.0,0.18989270031260963
0.43836654466310065,-0.47882434266138385,0.35758887891437396,0.3933007425340018,-0.992273320884716,0.8546139192452467,0.5705736470377119,0.5254243323901353,1.0,0.0,0.6108306920231069
0.6216140853235412,0.6570821540395118,-0.6735417779475699,-0.4310288119645991,-0.993435901617092,0.22632581553354325,0.19280237632922725,0.7433696141824243,1.0,0.0,0.3092380690297841
-0.11188064243517526,-0.9942996927875681,0.9017439101207723,0.5952748662711884,-0.9932353124463668,-0.1960128733519093,-0.5930800730905225,-0.7556645051813278,1.0,0.0,0.5989277095804884
-0.26363126504341294,0.847177370205146,0.09730255300547164,0.8001575620839656,-0.9937936628046435,-0.33049643284871966,-0.5359554615468385,-0.19532390636962746,1.0,0.0,0.7057032736217579
